K	Dades	Ins Salts	Ins Temps	Cer Temps	Cer Temps T	Cer Temps !T	Salts REALS	Salts MITJANA
0	2	1945832	0.015	1.241	0.048	0.609		
1	2	1946539	0.024	22.476	0.068	21.823	707	717.00
2	2	1947170	0.033	14.126	0.086	13.41	631	688.33
3	2	1947733	0.046	9.527	0.072	8.779	563	695.67
4	2	1948366	0.027	7.375	0.071	6.647	633	648.67
5	2	1949005	0.037	6.325	0.057	5.571	639	722.00
6	2	1949491	0.033	5.794	0.078	5.061	486	646.67
7	2	1950277	0.04	25.541	0.074	24.758	786	717.00
8	2	1950873	0.041	7.094	0.076	6.379	596	688.33
9	2	1951635	0.028	9.223	0.071	8.508	762	777.00
10	2	1952115	0.037	3.497	0.077	2.809	480	651.67
11	2	1952915	0.029	23.933	0.066	23.249	800	679.00
12	2	1953527	0.038	3.279	0.082	2.575	612	761.67
13	2	1954182	0.027	24.092	0.076	23.382	655	594.67
14	2	1954958	0.041	12.998	0.072	12.306	776	665.00
15	2	1955501	0.038	2.789	0.062	2.104	543	668.33
16	2	1955961	0.025	7.098	0.061	6.418	460	587.67
17	2	1956582	0.046	23.68	0.068	22.99	621	639.00
18	2	1957253	0.047	4.923	0.067	4.264	671	688.67
19	2	1958001	0.029	24.129	0.066	23.425	748	666.33
20	2	1958542	0.053	2.343	0.076	1.681	541	699.33
21	2	1959361	0.029	8.938	0.079	8.237	819	730.33
22	2	1960008	0.051	12.851	0.063	12.179	647	585.00
23	2	1960513	0.036	23.956	0.071	23.271	505	604.00
24	2	1961166	0.038	3.104	0.068	2.44	653	737.00
25	2	1961917	0.028	2.121	0.066	1.459	751	647.33
26	2	1962502	0.028	12.838	0.069	12.121	585	663.67
27	2	1963342	0.041	9.282	0.065	8.564	840	768.33
28	2	1963934	0.027	6.988	0.063	6.315	592	645.67
29	2	1964529	0.039	23.329	0.063	22.68	595	642.00
30	2	1965148	0.036	1.914	0.063	1.138	619	704.33
31	2	1965853	0.027	22.309	0.056	21.666	705	630.00
32	2	1966271	0.034	6.438	0.068	5.818	418	596.33
33	2	1966826	0.025	8.901	0.068	8.195	555	567.00
34	2	1967482	0.036	13.535	0.069	12.804	656	646.00
35	2	1968146	0.029	6.134	0.065	5.341	664	640.00
36	2	1968755	0.028	3.232	0.058	2.569	609	638.00
37	2	1969421	0.028	24.848	0.063	24.126	666	639.67
38	2	1970169	0.029	12.817	0.08	12.126	748	721.67
39	2	1970869	0.038	9.035	0.07	8.33	700	674.33
40	2	1971460	0.027	2.972	0.072	2.141	591	667.33
41	2	1972257	0.045	27.077	0.066	26.266	797	646.33
42	2	1973122	0.035	6.002	0.092	5.225	865	717.67
43	2	1973994	0.03	25.615	0.08	24.887	872	775.33
44	2	1974658	0.039	7.245	0.067	6.549	664	560.33
45	2	1975433	0.029	3.219	0.093	2.402	775	789.33
46	2	1976020	0.031	14.165	0.081	13.458	587	622.00
47	2	1976627	0.039	26.974	0.071	26.189	607	683.67
