K	Dades	Ins Salts	Ins Temps	Cer Temps	Cer Temps T	Cer Temps !T	Salts REALS	Salts MITJANA
0	2	15018298	0.026	1.307	0.055	0.623		
1	2	15018811	0.016	1.31	0.054	0.637	513	507.67
2	2	15019324	0.023	1.126	0.055	0.544	513	507.67
3	2	15019837	0.013	1.16	0.042	0.546	513	507.67
4	2	15020350	0.012	1.209	0.061	0.561	513	507.67
5	2	15020863	0.015	1.126	0.052	0.527	513	507.67
6	2	15021376	0.013	1.15	0.041	0.544	513	507.67
7	2	15021889	0.027	1.182	0.049	0.592	513	507.67
8	2	15022402	0.022	1.174	0.057	0.567	513	507.67
9	2	15022915	0.013	1.161	0.048	0.546	513	507.67
10	2	15023428	0.014	1.151	0.053	0.547	513	507.67
11	2	15023941	0.013	1.159	0.049	0.54	513	507.67
12	2	15024454	0.012	1.433	0.077	0.698	513	507.67
13	2	15024967	0.013	1.242	0.035	0.577	513	507.67
14	2	15025480	0.013	1.159	0.041	0.55	513	507.67
15	2	15025993	0.013	1.215	0.046	0.584	513	507.67
16	2	15026506	0.013	1.183	0.046	0.555	513	507.67
17	2	15027019	0.013	1.202	0.04	0.566	513	507.67
18	2	15027532	0.013	1.239	0.053	0.577	513	507.67
19	2	15028045	0.013	1.241	0.048	0.612	513	507.67
20	2	15028558	0.017	1.238	0.052	0.605	513	507.67
21	2	15029071	0.013	1.196	0.047	0.574	513	507.67
22	2	15029584	0.014	1.176	0.041	0.572	513	507.67
23	2	15030097	0.013	1.226	0.044	0.598	513	507.67
24	2	15030610	0.024	1.273	0.042	0.613	513	507.67
25	2	15031123	0.013	1.329	0.058	0.622	513	507.67
26	2	15031636	0.015	1.348	0.067	0.65	513	507.67
27	2	15032149	0.014	1.281	0.052	0.597	513	507.67
28	2	15032662	0.031	1.307	0.054	0.605	513	507.67
29	2	15033175	0.014	1.27	0.05	0.6	513	507.67
30	2	15033688	0.014	1.242	0.053	0.59	513	507.67
31	2	15034201	0.014	1.288	0.035	0.627	513	507.67
32	2	15034714	0.014	1.307	0.044	0.629	513	507.67
33	2	15035227	0.014	1.235	0.054	0.589	513	507.67
34	2	15035740	0.014	1.238	0.049	0.588	513	507.67
35	2	15036253	0.014	1.264	0.063	0.59	513	507.67
36	2	15036766	0.013	1.275	0.043	0.618	513	507.67
37	2	15037279	0.029	1.313	0.055	0.619	513	507.67
38	2	15037792	0.014	1.225	0.047	0.574	513	507.67
39	2	15038305	0.013	1.272	0.051	0.617	513	507.67
40	2	15038818	0.019	1.24	0.057	0.582	513	507.67
41	2	15039331	0.013	1.197	0.05	0.572	513	507.67
42	2	15039844	0.013	1.238	0.048	0.594	513	507.67
43	2	15040357	0.013	1.24	0.039	0.605	513	507.67
44	2	15040870	0.013	1.3	0.04	0.639	513	507.67
45	2	15041383	0.014	1.196	0.043	0.579	513	507.67
46	2	15041896	0.014	1.221	0.033	0.6	513	507.67
47	2	15042409	0.013	1.223	0.047	0.587	513	507.67
48	2	15042922	0.023	1.186	0.04	0.577	513	507.67
49	2	15043435	0.013	1.207	0.047	0.556	513	507.67
50	2	15043948	0.014	1.215	0.057	0.562	513	507.67
51	2	15044461	0.023	1.161	0.048	0.55	513	507.67
52	2	15044974	0.013	1.203	0.053	0.555	513	507.67
53	2	15045487	0.013	1.212	0.043	0.575	513	507.67
54	2	15046000	0.013	1.264	0.052	0.607	513	507.67
55	2	15046513	0.014	1.275	0.047	0.608	513	507.67
56	2	15047026	0.013	1.272	0.044	0.61	513	507.67
57	2	15047539	0.014	1.32	0.051	0.638	513	507.67
58	2	15048052	0.014	1.295	0.046	0.632	513	507.67
59	2	15048565	0.016	1.344	0.053	0.632	513	507.67
60	2	15049078	0.014	1.391	0.055	0.644	513	507.67
61	2	15049591	0.014	1.33	0.053	0.645	513	507.67
62	2	15050104	0.014	1.356	0.05	0.64	513	507.67
63	2	15050617	0.015	1.275	0.053	0.607	513	507.67
64	2	15051130	0.014	1.276	0.038	0.639	513	507.67
65	2	15051643	0.014	1.277	0.048	0.605	513	507.67
66	2	15052156	0.014	1.319	0.056	0.59	513	507.67
67	2	15052669	0.014	1.279	0.05	0.604	513	507.67
68	2	15053182	0.015	1.25	0.047	0.598	513	507.67
69	2	15053695	0.014	1.281	0.053	0.597	513	507.67
70	2	15054208	0.013	1.237	0.045	0.591	513	507.67
71	2	15054721	0.013	1.235	0.052	0.587	513	507.67
72	2	15055234	0.013	1.235	0.047	0.586	513	507.67
73	2	15055747	0.014	1.235	0.046	0.585	513	507.67
74	2	15056260	0.014	1.218	0.044	0.59	513	507.67
75	2	15056773	0.013	1.239	0.043	0.593	513	507.67
76	2	15057286	0.014	1.196	0.049	0.578	513	507.67
77	2	15057799	0.013	1.218	0.043	0.599	513	507.67
78	2	15058312	0.013	1.197	0.047	0.584	513	507.67
79	2	15058825	0.013	1.218	0.047	0.586	513	507.67
80	2	15059338	0.022	1.281	0.049	0.634	513	507.67
81	2	15059851	0.02	1.279	0.054	0.589	513	507.67
82	2	15060364	0.013	1.275	0.046	0.61	513	507.67
83	2	15060877	0.013	1.238	0.051	0.593	513	507.67
84	2	15061390	0.014	1.222	0.049	0.584	513	507.67
85	2	15061903	0.014	1.196	0.043	0.569	513	507.67
86	2	15062416	0.013	1.262	0.054	0.591	513	507.67
87	2	15062929	0.014	1.26	0.044	0.606	513	507.67
88	2	15063442	0.036	1.24	0.082	0.556	513	507.67
89	2	15063955	0.013	1.251	0.047	0.603	513	507.67
90	2	15064468	0.014	1.198	0.034	0.59	513	507.67
91	2	15064981	0.013	1.238	0.044	0.579	513	507.67
92	2	15065494	0.013	1.229	0.051	0.597	513	507.67
93	2	15066007	0.014	1.274	0.045	0.626	513	507.67
94	2	15066520	0.014	1.292	0.041	0.622	513	507.67
95	2	15067033	0.014	1.317	0.047	0.635	513	507.67
96	2	15067546	0.013	1.274	0.054	0.597	513	507.67
97	2	15068059	0.014	1.265	0.048	0.6	513	507.67
98	2	15068572	0.014	1.266	0.043	0.617	513	507.67
99	2	15069085	0.018	1.264	0.051	0.595	513	507.67
100	2	15069598	0.014	1.292	0.047	0.629	513	507.67
101	2	15070111	0.014	1.236	0.044	0.588	513	507.67
102	2	15070624	0.014	1.235	0.05	0.585	513	507.67
103	2	15071137	0.014	1.233	0.042	0.596	513	507.67
104	2	15071650	0.014	1.236	0.047	0.588	513	507.67
105	2	15072163	0.013	1.25	0.044	0.575	513	507.67
106	2	15072676	0.014	1.303	0.05	0.638	513	507.67
107	2	15073189	0.013	1.198	0.047	0.569	513	507.67
108	2	15073702	0.014	1.241	0.043	0.601	513	507.67
109	2	15074215	0.013	1.236	0.047	0.588	513	507.67
110	2	15074728	0.013	1.239	0.044	0.604	513	507.67
111	2	15075241	0.014	1.217	0.044	0.591	513	507.67
112	2	15075754	0.022	1.259	0.056	0.59	513	507.67
113	2	15076267	0.014	1.288	0.048	0.605	513	507.67
114	2	15076780	0.013	1.237	0.044	0.606	513	507.67
115	2	15077293	0.013	1.196	0.044	0.56	513	507.67
116	2	15077806	0.013	1.227	0.055	0.585	513	507.67
117	2	15078319	0.014	1.238	0.044	0.612	513	507.67
118	2	15078832	0.014	1.267	0.046	0.612	513	507.67
119	2	15079345	0.013	1.238	0.044	0.59	513	507.67
120	2	15079858	0.024	1.24	0.054	0.604	513	507.67
121	2	15080371	0.013	1.231	0.043	0.595	513	507.67
122	2	15080884	0.015	1.257	0.048	0.607	513	507.67
123	2	15081397	0.014	1.198	0.05	0.57	513	507.67
124	2	15081910	0.013	1.238	0.046	0.585	513	507.67
125	2	15082423	0.013	1.239	0.04	0.606	513	507.67
126	2	15082936	0.013	1.277	0.044	0.621	513	507.67
127	2	15083449	0.013	1.224	0.044	0.568	513	507.67
128	2	15083962	0.014	1.235	0.046	0.591	513	507.67
129	2	15084475	0.014	1.237	0.051	0.571	513	507.67
130	2	15084988	0.013	1.261	0.046	0.585	513	507.67
131	2	15085501	0.014	1.29	0.048	0.617	513	507.67
132	2	15086014	0.029	1.303	0.053	0.612	513	507.67
133	2	15086527	0.013	1.196	0.048	0.581	513	507.67
134	2	15087040	0.013	1.197	0.049	0.573	513	507.67
135	2	15087553	0.014	1.302	0.064	0.576	513	507.67
136	2	15088066	0.023	1.196	0.045	0.573	513	507.67
137	2	15088579	0.014	1.255	0.057	0.594	513	507.67
138	2	15089092	0.014	1.321	0.047	0.615	513	507.67
139	2	15089605	0.013	1.262	0.043	0.608	513	507.67
140	2	15090118	0.015	1.293	0.043	0.611	513	507.67
141	2	15090631	0.014	1.334	0.051	0.635	513	507.67
142	2	15091144	0.014	1.276	0.045	0.613	513	507.67
143	2	15091657	0.014	1.364	0.06	0.62	513	507.67
144	2	15092170	0.015	1.345	0.055	0.635	513	507.67
145	2	15092683	0.014	1.304	0.05	0.624	513	507.67
146	2	15093196	0.014	1.304	0.048	0.636	513	507.67
147	2	15093709	0.014	1.277	0.045	0.615	513	507.67
148	2	15094222	0.014	1.277	0.048	0.612	513	507.67
