K	Dades	Ins Salts	Ins Temps	Cer Temps	Cer Temps T	Cer Temps !T	Salts REALS	Salts MITJANA
0	2	0	0.022	1.263	0.061	0.618		
1	2	707	0.027	22.909	0.078	22.238	707	717.00
2	2	1338	0.05	11.727	0.075	11.067	631	688.33
3	2	1901	0.034	8.131	0.069	7.512	563	695.67
4	2	2534	0.024	6.254	0.069	5.644	633	648.67
5	2	3173	0.049	5.176	0.062	4.583	639	722.00
6	2	3659	0.024	4.503	0.059	3.901	486	646.67
7	2	4445	0.026	21.449	0.062	20.829	786	717.00
8	2	5041	0.035	6.25	0.056	5.631	596	688.33
9	2	5803	0.026	7.955	0.06	7.343	762	777.00
10	2	6283	0.047	3.241	0.055	2.617	480	651.67
11	2	7083	0.028	22.06	0.059	21.42	800	679.00
12	2	7695	0.034	2.85	0.051	2.246	612	761.67
13	2	8350	0.024	21.331	0.06	20.716	655	594.67
14	2	9126	0.036	11.276	0.071	10.674	776	665.00
15	2	9669	0.034	2.495	0.055	1.883	543	668.33
16	2	10129	0.024	6.252	0.067	5.64	460	587.67
17	2	10750	0.025	21.543	0.057	20.938	621	639.00
18	2	11421	0.035	4.506	0.06	3.885	671	688.67
19	2	12169	0.026	21.89	0.066	21.254	748	666.33
20	2	12710	0.034	2.237	0.05	1.61	541	699.33
21	2	13529	0.027	7.969	0.053	7.368	819	730.33
22	2	14176	0.035	11.393	0.06	10.78	647	585.00
23	2	14681	0.047	21.431	0.063	20.806	505	604.00
24	2	15334	0.035	2.901	0.053	2.323	653	737.00
25	2	16085	0.026	1.98	0.069	1.573	751	647.33
26	2	16670	0.024	11.392	0.073	10.776	585	663.67
27	2	17510	0.051	7.916	0.067	7.306	840	768.33
28	2	18102	0.025	6.373	0.069	5.726	592	645.67
29	2	18697	0.048	22.178	0.06	21.575	595	642.00
30	2	19316	0.034	1.8	0.06	1.196	619	704.33
31	2	20021	0.025	21.473	0.065	20.85	705	630.00
32	2	20439	0.033	6.271	0.06	5.648	418	596.33
33	2	20994	0.024	7.923	0.067	7.322	555	567.00
34	2	21650	0.049	11.377	0.059	10.763	656	646.00
35	2	22314	0.035	5.289	0.065	4.682	664	640.00
36	2	22923	0.024	2.832	0.06	2.236	609	638.00
37	2	23589	0.025	21.39	0.059	20.787	666	639.67
38	2	24337	0.049	11.445	0.062	10.82	748	721.67
39	2	25037	0.035	7.924	0.052	7.318	700	674.33
40	2	25628	0.024	2.214	0.057	1.591	591	667.33
41	2	26425	0.051	22.149	0.067	21.512	797	646.33
42	2	27290	0.037	4.609	0.058	3.993	865	717.67
43	2	28162	0.026	21.674	0.06	21.038	872	775.33
44	2	28826	0.035	6.231	0.054	5.624	664	560.33
45	2	29601	0.025	2.494	0.067	1.888	775	789.33
46	2	30188	0.025	11.481	0.051	10.848	587	622.00
47	2	30795	0.034	22.383	0.06	21.722	607	683.67
48	2	31569	0.05	3.128	0.068	2.459	774	729.67
49	2	32151	0.027	21.704	0.063	21.1	582	571.67
50	2	32794	0.036	1.531	0.061	0.936	643	619.00
51	2	33303	0.024	7.927	0.061	7.323	509	601.33
52	2	33928	0.025	6.251	0.05	5.629	625	626.33
53	2	34493	0.048	21.525	0.063	20.889	565	546.33
54	2	35496	0.052	4.586	0.05	3.986	1003	775.67
55	2	36230	0.026	5.236	0.053	4.657	734	687.00
56	2	36815	0.024	6.273	0.066	5.658	585	673.00
57	2	37482	0.051	7.926	0.062	7.316	667	604.00
58	2	38093	0.024	12.507	0.067	11.814	611	660.33
